group,stop,ci,time,dying,dif5,dif10,id,_STAT_,g_dif5,g_dif10,flag5,flag10
1,1801,0.003579753,4.934246575,0.357975332,0.065753425,5.065753425,76,MIN,0.005479452,0.008219178,,
1,1803,0.003626855,4.939726027,0.362685537,0.060273973,5.060273973,77,MIN,0.005479452,0.008219178,,
1,1823,0.003673957,4.994520548,0.367395741,0.005479452,5.005479452,78,MIN,0.005479452,0.008219178,1,
1,1839,0.00372106,5.038356164,0.372105946,0.038356164,4.961643836,79,MIN,0.005479452,0.008219178,,
1,1849,0.003768162,5.065753425,0.376816151,0.065753425,4.934246575,80,MIN,0.005479452,0.008219178,,
1,1864,0.003815264,5.106849315,0.381526355,0.106849315,4.893150685,81,MIN,0.005479452,0.008219178,,
1,1875,0.003862366,5.136986301,0.38623656,0.136986301,4.863013699,82,MIN,0.005479452,0.008219178,,
1,1917,0.003909468,5.252054795,0.390946765,0.252054795,4.747945206,83,MIN,0.005479452,0.008219178,,
1,1926,0.00395657,5.276712329,0.395656969,0.276712329,4.723287671,84,MIN,0.005479452,0.008219178,,
1,1937,0.004003672,5.306849315,0.400367174,0.306849315,4.693150685,85,MIN,0.005479452,0.008219178,,
1,1980,0.004050774,5.424657534,0.405077379,0.424657534,4.575342466,86,MIN,0.005479452,0.008219178,,
1,1986,0.004097876,5.44109589,0.409787583,0.44109589,4.55890411,87,MIN,0.005479452,0.008219178,,
1,2061,0.004144978,5.646575343,0.414497788,0.646575343,4.353424658,88,MIN,0.005479452,0.008219178,,
1,2068,0.00419208,5.665753425,0.419207993,0.665753425,4.334246575,89,MIN,0.005479452,0.008219178,,
1,2087,0.004239182,5.717808219,0.423918225,0.717808219,4.282191781,90,MIN,0.005479452,0.008219178,,
1,2088,0.004286285,5.720547945,0.428628457,0.720547945,4.279452055,91,MIN,0.005479452,0.008219178,,
1,2096,0.004333387,5.742465753,0.433338688,0.742465753,4.257534247,92,MIN,0.005479452,0.008219178,,
1,2099,0.004380489,5.750684932,0.43804892,0.750684932,4.249315069,93,MIN,0.005479452,0.008219178,,
1,2109,0.004427592,5.778082192,0.442759152,0.778082192,4.221917808,94,MIN,0.005479452,0.008219178,,
1,2135,0.004474694,5.849315069,0.447469384,0.849315069,4.150684932,95,MIN,0.005479452,0.008219178,,
1,2161,0.004521796,5.920547945,0.452179616,0.920547945,4.079452055,96,MIN,0.005479452,0.008219178,,
1,2181,0.004568899,5.975342466,0.456889848,0.975342466,4.024657534,97,MIN,0.005479452,0.008219178,,
1,2192,0.004616001,6.005479452,0.46160008,1.005479452,3.994520548,98,MIN,0.005479452,0.008219178,,
1,2234,0.004663103,6.120547945,0.466310312,1.120547945,3.879452055,99,MIN,0.005479452,0.008219178,,
1,2245,0.004710205,6.150684932,0.471020544,1.150684932,3.849315069,100,MIN,0.005479452,0.008219178,,
1,2252,0.004757308,6.169863014,0.475730776,1.169863014,3.830136986,101,MIN,0.005479452,0.008219178,,
1,2276,0.00480441,6.235616438,0.480441008,1.235616438,3.764383562,102,MIN,0.005479452,0.008219178,,
1,2290,0.004851512,6.273972603,0.48515124,1.273972603,3.726027397,103,MIN,0.005479452,0.008219178,,
1,2308,0.004898615,6.323287671,0.489861471,1.323287671,3.676712329,104,MIN,0.005479452,0.008219178,,
1,2318,0.004945717,6.350684932,0.494571703,1.350684932,3.649315069,105,MIN,0.005479452,0.008219178,,
1,2320,0.004992819,6.356164384,0.499281935,1.356164384,3.643835616,106,MIN,0.005479452,0.008219178,,
1,2324,0.005039922,6.367123288,0.503992167,1.367123288,3.632876712,107,MIN,0.005479452,0.008219178,,
1,2340,0.005087024,6.410958904,0.508702399,1.410958904,3.589041096,108,MIN,0.005479452,0.008219178,,
1,2349,0.005134126,6.435616438,0.513412631,1.435616438,3.564383562,109,MIN,0.005479452,0.008219178,,
1,2353,0.005181229,6.446575343,0.518122863,1.446575343,3.553424658,110,MIN,0.005479452,0.008219178,,
1,2367,0.005228331,6.484931507,0.522833095,1.484931507,3.515068493,111,MIN,0.005479452,0.008219178,,
1,2380,0.005275433,6.520547945,0.527543327,1.520547945,3.479452055,112,MIN,0.005479452,0.008219178,,
1,2403,0.005322536,6.583561644,0.532253559,1.583561644,3.416438356,113,MIN,0.005479452,0.008219178,,
1,2449,0.005369636,6.709589041,0.536963568,1.709589041,3.290410959,114,MIN,0.005479452,0.008219178,,
1,2461,0.005416736,6.742465753,0.541673577,1.742465753,3.257534247,115,MIN,0.005479452,0.008219178,,
1,2463,0.005463836,6.747945206,0.546383585,1.747945206,3.252054795,116,MIN,0.005479452,0.008219178,,
1,2483,0.005510936,6.802739726,0.55109363,1.802739726,3.197260274,117,MIN,0.005479452,0.008219178,,
1,2497,0.005558037,6.84109589,0.555803674,1.84109589,3.15890411,118,MIN,0.005479452,0.008219178,,
1,2499,0.005605137,6.846575343,0.560513719,1.846575343,3.153424658,119,MIN,0.005479452,0.008219178,,
1,2523,0.005652238,6.912328767,0.5652238,1.912328767,3.087671233,120,MIN,0.005479452,0.008219178,,
1,2570,0.005699339,7.04109589,0.569933919,2.04109589,2.95890411,121,MIN,0.005479452,0.008219178,,
1,2577,0.00574644,7.060273973,0.574644037,2.060273973,2.939726027,122,MIN,0.005479452,0.008219178,,
1,2609,0.005793544,7.147945206,0.579354418,2.147945206,2.852054795,123,MIN,0.005479452,0.008219178,,
1,2629,0.005934849,7.202739726,0.593484889,2.202739726,2.797260274,124,MIN,0.005479452,0.008219178,,
1,2635,0.005981954,7.219178082,0.598195387,2.219178082,2.780821918,125,MIN,0.005479452,0.008219178,,
1,2663,0.006029059,7.295890411,0.602905885,2.295890411,2.704109589,126,MIN,0.005479452,0.008219178,,
1,2685,0.006076165,7.356164384,0.607616505,2.356164384,2.643835616,127,MIN,0.005479452,0.008219178,,
1,2694,0.006123273,7.380821918,0.612327246,2.380821918,2.619178082,128,MIN,0.005479452,0.008219178,,
1,2711,0.006170385,7.42739726,0.617038498,2.42739726,2.57260274,129,MIN,0.005479452,0.008219178,,
1,2714,0.006217498,7.435616438,0.621749832,2.435616438,2.564383562,130,MIN,0.005479452,0.008219178,,
1,2735,0.006264624,7.493150685,0.626462358,2.493150685,2.506849315,131,MIN,0.005479452,0.008219178,,
1,2741,0.006311752,7.509589041,0.631175218,2.509589041,2.490410959,132,MIN,0.005479452,0.008219178,,
1,2769,0.006358892,7.58630137,0.63588915,2.58630137,2.41369863,133,MIN,0.005479452,0.008219178,,
1,2781,0.006406034,7.619178082,0.640603438,2.619178082,2.380821918,134,MIN,0.005479452,0.008219178,,
1,2863,0.006500718,7.843835616,0.650071782,2.843835616,2.156164384,135,MIN,0.005479452,0.008219178,,
1,2866,0.006548067,7.852054795,0.654806691,2.852054795,2.147945206,136,MIN,0.005479452,0.008219178,,
1,2878,0.006595457,7.884931507,0.659545733,2.884931507,2.115068493,137,MIN,0.005479452,0.008219178,,
1,2885,0.00664285,7.904109589,0.664285001,2.904109589,2.095890411,138,MIN,0.005479452,0.008219178,,
1,2893,0.006690263,7.926027397,0.669026246,2.926027397,2.073972603,139,MIN,0.005479452,0.008219178,,
1,2903,0.006737695,7.953424658,0.673769471,2.953424658,2.046575343,140,MIN,0.005479452,0.008219178,,
1,2913,0.006785162,7.980821918,0.678516172,2.980821918,2.019178082,141,MIN,0.005479452,0.008219178,,
1,2922,0.006832652,8.005479452,0.683265183,3.005479452,1.994520548,142,MIN,0.005479452,0.008219178,,
1,2924,0.006880136,8.010958904,0.688013642,3.010958904,1.989041096,143,MIN,0.005479452,0.008219178,,
1,2964,0.006927687,8.120547945,0.692768657,3.120547945,1.879452055,144,MIN,0.005479452,0.008219178,,
1,2974,0.006975254,8.147945206,0.697525394,3.147945206,1.852054795,145,MIN,0.005479452,0.008219178,,
1,2993,0.007022839,8.2,0.702283904,3.2,1.8,146,MIN,0.005479452,0.008219178,,
1,3004,0.007070448,8.230136986,0.70704479,3.230136986,1.769863014,147,MIN,0.005479452,0.008219178,,
1,3110,0.007118349,8.520547945,0.711834875,3.520547945,1.479452055,148,MIN,0.005479452,0.008219178,,
1,3115,0.007166261,8.534246575,0.716626048,3.534246575,1.465753425,149,MIN,0.005479452,0.008219178,,
1,3120,0.007214169,8.547945206,0.721416915,3.547945206,1.452054795,150,MIN,0.005479452,0.008219178,,
1,3145,0.007262114,8.616438356,0.726211388,3.616438356,1.383561644,151,MIN,0.005479452,0.008219178,,
1,3152,0.007310072,8.635616438,0.731007156,3.635616438,1.364383562,152,MIN,0.005479452,0.008219178,,
1,3166,0.007358062,8.673972603,0.735806149,3.673972603,1.326027397,153,MIN,0.005479452,0.008219178,,
1,3176,0.007406065,8.701369863,0.740606508,3.701369863,1.298630137,154,MIN,0.005479452,0.008219178,,
1,3182,0.007454093,8.717808219,0.745409266,3.717808219,1.282191781,155,MIN,0.005479452,0.008219178,,
1,3191,0.007502156,8.742465753,0.750215579,3.742465753,1.257534247,156,MIN,0.005479452,0.008219178,,
1,3195,0.007550227,8.753424658,0.75502272,3.753424658,1.246575343,157,MIN,0.005479452,0.008219178,,
1,3228,0.007598363,8.843835616,0.759836248,3.843835616,1.156164384,158,MIN,0.005479452,0.008219178,,
1,3235,0.007646514,8.863013699,0.76465138,3.863013699,1.136986301,159,MIN,0.005479452,0.008219178,,
1,3238,0.007694667,8.871232877,0.769466737,3.871232877,1.128767123,160,MIN,0.005479452,0.008219178,,
1,3239,0.007742824,8.873972603,0.774282424,3.873972603,1.126027397,161,MIN,0.005479452,0.008219178,,
1,3246,0.007790995,8.893150685,0.779099515,3.893150685,1.106849315,162,MIN,0.005479452,0.008219178,,
1,3256,0.007839177,8.920547945,0.783917647,3.920547945,1.079452055,163,MIN,0.005479452,0.008219178,,
1,3259,0.007887358,8.928767123,0.788735763,3.928767123,1.071232877,164,MIN,0.005479452,0.008219178,,
1,3276,0.007935566,8.975342466,0.793556612,3.975342466,1.024657534,165,MIN,0.005479452,0.008219178,,
1,3317,0.00798386,9.087671233,0.798385957,4.087671233,0.912328767,166,MIN,0.005479452,0.008219178,,
1,3341,0.008032235,9.153424658,0.803223481,4.153424658,0.846575343,167,MIN,0.005479452,0.008219178,,
1,3345,0.008080619,9.164383562,0.808061929,4.164383562,0.835616438,168,MIN,0.005479452,0.008219178,,
1,3368,0.008129104,9.22739726,0.812910383,4.22739726,0.77260274,169,MIN,0.005479452,0.008219178,,
1,3370,0.008177589,9.232876712,0.817758855,4.232876712,0.767123288,170,MIN,0.005479452,0.008219178,,
1,3372,0.008226068,9.238356164,0.822606815,4.238356164,0.761643836,171,MIN,0.005479452,0.008219178,,
1,3408,0.00827473,9.336986301,0.827472957,4.336986301,0.663013699,172,MIN,0.005479452,0.008219178,,
1,3419,0.008323453,9.367123288,0.832345342,4.367123288,0.632876712,173,MIN,0.005479452,0.008219178,,
1,3421,0.008372184,9.37260274,0.837218378,4.37260274,0.62739726,174,MIN,0.005479452,0.008219178,,
1,3424,0.008420939,9.380821918,0.84209392,4.380821918,0.619178082,175,MIN,0.005479452,0.008219178,,
1,3427,0.00846973,9.389041096,0.846972968,4.389041096,0.610958904,176,MIN,0.005479452,0.008219178,,
1,3440,0.008518616,9.424657534,0.851861571,4.424657534,0.575342466,177,MIN,0.005479452,0.008219178,,
1,3464,0.008567675,9.490410959,0.856767515,4.490410959,0.509589041,178,MIN,0.005479452,0.008219178,,
1,3465,0.008616738,9.493150685,0.861673827,4.493150685,0.506849315,179,MIN,0.005479452,0.008219178,,
1,3474,0.008665854,9.517808219,0.866585373,4.517808219,0.482191781,180,MIN,0.005479452,0.008219178,,
1,3488,0.008715091,9.556164384,0.871509057,4.556164384,0.443835616,181,MIN,0.005479452,0.008219178,,
1,3489,0.008764333,9.55890411,0.876433257,4.55890411,0.44109589,182,MIN,0.005479452,0.008219178,,
1,3548,0.008813837,9.720547945,0.881383675,4.720547945,0.279452055,183,MIN,0.005479452,0.008219178,,
1,3559,0.008863394,9.750684932,0.886339356,4.750684932,0.249315069,184,MIN,0.005479452,0.008219178,,
1,3576,0.008912981,9.797260274,0.891298061,4.797260274,0.202739726,185,MIN,0.005479452,0.008219178,,
1,3590,0.008962638,9.835616438,0.896263797,4.835616438,0.164383562,186,MIN,0.005479452,0.008219178,,
1,3629,0.009012636,9.942465753,0.901263588,4.942465753,0.057534247,187,MIN,0.005479452,0.008219178,,
1,3638,0.00906274,9.967123288,0.906274028,4.967123288,0.032876712,188,MIN,0.005479452,0.008219178,,
1,3653,0.009113016,10.00821918,0.911301636,5.008219178,0.008219178,189,MIN,0.005479452,0.008219178,,1
1,3662,0.009163372,10.03287671,0.916337236,5.032876712,0.032876712,190,MIN,0.005479452,0.008219178,,
1,3670,0.009213779,10.05479452,0.921377916,5.054794521,0.054794521,191,MIN,0.005479452,0.008219178,,
1,3698,0.009264358,10.13150685,0.926435782,5.131506849,0.131506849,192,MIN,0.005479452,0.008219178,,
1,3712,0.009314964,10.16986301,0.931496427,5.169863014,0.169863014,193,MIN,0.005479452,0.008219178,,
1,3717,0.009365571,10.18356164,0.936557076,5.183561644,0.183561644,194,MIN,0.005479452,0.008219178,,
1,3719,0.009416183,10.1890411,0.941618325,5.189041096,0.189041096,195,MIN,0.005479452,0.008219178,,
1,3727,0.00946683,10.2109589,0.946682972,5.210958904,0.210958904,196,MIN,0.005479452,0.008219178,,
1,3755,0.009517539,10.28767123,0.951753887,5.287671233,0.287671233,197,MIN,0.005479452,0.008219178,,
1,3770,0.009568265,10.32876712,0.956826457,5.328767123,0.328767123,198,MIN,0.005479452,0.008219178,,
1,3835,0.009619009,10.50684932,0.961900863,5.506849315,0.506849315,199,MIN,0.005479452,0.008219178,,
1,3841,0.009669762,10.52328767,0.966976153,5.523287671,0.523287671,200,MIN,0.005479452,0.008219178,,
1,3850,0.009720527,10.54794521,0.972052651,5.547945206,0.547945206,201,MIN,0.005479452,0.008219178,,
1,3859,0.00977129,10.57260274,0.977128954,5.57260274,0.57260274,202,MIN,0.005479452,0.008219178,,
1,3866,0.009822064,10.59178082,0.982206416,5.591780822,0.591780822,203,MIN,0.005479452,0.008219178,,
1,3905,0.00987285,10.69863014,0.987284959,5.698630137,0.698630137,204,MIN,0.005479452,0.008219178,,
1,3927,0.009923638,10.75890411,0.992363792,5.75890411,0.75890411,205,MIN,0.005479452,0.008219178,,
1,3968,0.009974447,10.87123288,0.997444724,5.871232877,0.871232877,206,MIN,0.005479452,0.008219178,,
1,3981,0.010025269,10.90684932,1.002526913,5.906849315,0.906849315,207,MIN,0.005479452,0.008219178,,
1,3992,0.010076101,10.9369863,1.007610128,5.936986301,0.936986301,208,MIN,0.005479452,0.008219178,,
1,3994,0.010126934,10.94246575,1.012693399,5.942465753,0.942465753,209,MIN,0.005479452,0.008219178,,
1,3999,0.010177773,10.95616438,1.017777275,5.956164384,0.956164384,210,MIN,0.005479452,0.008219178,,
1,4001,0.010228612,10.96164384,1.022861208,5.961643836,0.961643836,211,MIN,0.005479452,0.008219178,,
1,4003,0.010279454,10.96712329,1.027945371,5.967123288,0.967123288,212,MIN,0.005479452,0.008219178,,
1,4005,0.010330297,10.97260274,1.033029707,5.97260274,0.97260274,213,MIN,0.005479452,0.008219178,,
1,4032,0.010381166,11.04657534,1.038116624,6.046575343,1.046575343,214,MIN,0.005479452,0.008219178,,
1,4037,0.010432033,11.06027397,1.043203311,6.060273973,1.060273973,215,MIN,0.005479452,0.008219178,,
1,4083,0.010482928,11.18630137,1.048292813,6.18630137,1.18630137,216,MIN,0.005479452,0.008219178,,
1,4098,0.010533832,11.22739726,1.053383223,6.22739726,1.22739726,217,MIN,0.005479452,0.008219178,,
1,4141,0.01058475,11.34520548,1.05847501,6.34520548,1.34520548,218,MIN,0.005479452,0.008219178,,
1,4153,0.010635672,11.37808219,1.063567227,6.378082192,1.378082192,219,MIN,0.005479452,0.008219178,,
1,4163,0.010686598,11.40547945,1.068659813,6.405479452,1.405479452,220,MIN,0.005479452,0.008219178,,
1,4169,0.010737534,11.42191781,1.07375336,6.421917808,1.421917808,221,MIN,0.005479452,0.008219178,,
1,4184,0.010788471,11.4630137,1.07884708,6.463013699,1.463013699,222,MIN,0.005479452,0.008219178,,
1,4203,0.010839417,11.51506849,1.0839417,6.515068493,1.515068493,223,MIN,0.005479452,0.008219178,,
1,4209,0.010890367,11.53150685,1.089036646,6.531506849,1.531506849,224,MIN,0.005479452,0.008219178,,
1,4220,0.010941323,11.56164384,1.094132313,6.561643836,1.561643836,225,MIN,0.005479452,0.008219178,,
1,4264,0.010992324,11.68219178,1.099232411,6.682191781,1.682191781,226,MIN,0.005479452,0.008219178,,
1,4267,0.011043323,11.69041096,1.104332313,6.690410959,1.690410959,227,MIN,0.005479452,0.008219178,,
1,4316,0.011094333,11.82465753,1.109433345,6.824657534,1.824657534,228,MIN,0.005479452,0.008219178,,
1,4324,0.011145345,11.84657534,1.114534468,6.846575343,1.846575343,229,MIN,0.005479452,0.008219178,,
1,4344,0.011196383,11.90136986,1.119638308,6.901369863,1.901369863,230,MIN,0.005479452,0.008219178,,
1,4388,0.011247443,12.02191781,1.124744329,7.021917808,2.021917808,231,MIN,0.005479452,0.008219178,,
1,4399,0.011298509,12.0520548,1.129850921,7.052054795,2.052054795,232,MIN,0.005479452,0.008219178,,
1,4411,0.011349578,12.08493151,1.134957824,7.084931507,2.084931507,233,MIN,0.005479452,0.008219178,,
1,4429,0.011400654,12.13424658,1.140065377,7.134246575,2.134246575,234,MIN,0.005479452,0.008219178,,
1,4435,0.011451726,12.15068493,1.14517262,7.150684932,2.150684932,235,MIN,0.005479452,0.008219178,,
1,4439,0.0115028,12.16164384,1.15028001,7.161643836,2.161643836,236,MIN,0.005479452,0.008219178,,
1,4474,0.011554374,12.25753425,1.15543742,7.257534247,2.257534247,237,MIN,0.005479452,0.008219178,,
1,4476,0.011605998,12.2630137,1.160599825,7.263013699,2.263013699,238,MIN,0.005479452,0.008219178,,
1,4485,0.011657722,12.28767123,1.165772167,7.287671233,2.287671233,239,MIN,0.005479452,0.008219178,,
1,4493,0.01170962,12.30958904,1.17096198,7.309589041,2.309589041,240,MIN,0.005479452,0.008219178,,
1,4524,0.011762501,12.39452055,1.176250098,7.394520548,2.394520548,241,MIN,0.005479452,0.008219178,,
1,4533,0.011815622,12.41917808,1.181562194,7.419178082,2.419178082,242,MIN,0.005479452,0.008219178,,
1,4536,0.011868779,12.42739726,1.186877914,7.42739726,2.42739726,243,MIN,0.005479452,0.008219178,,
1,4543,0.011922227,12.44657534,1.192222713,7.446575343,2.446575343,244,MIN,0.005479452,0.008219178,,
1,4552,0.01197634,12.47123288,1.197634012,7.471232877,2.471232877,245,MIN,0.005479452,0.008219178,,
1,4560,0.012030891,12.49315069,1.203089054,7.493150685,2.493150685,246,MIN,0.005479452,0.008219178,,
1,4568,0.012085545,12.51506849,1.208554529,7.515068493,2.515068493,247,MIN,0.005479452,0.008219178,,
1,4593,0.012140792,12.58356164,1.214079196,7.583561644,2.583561644,248,MIN,0.005479452,0.008219178,,
1,4594,0.012196093,12.58630137,1.219609307,7.58630137,2.58630137,249,MIN,0.005479452,0.008219178,,
1,4605,0.012251539,12.61643836,1.225153927,7.616438356,2.616438356,250,MIN,0.005479452,0.008219178,,
1,4607,0.012307053,12.62191781,1.230705323,7.621917808,2.621917808,251,MIN,0.005479452,0.008219178,,
